('\ufeffÌRÌNKÈRINDÒ', 'NÍNÚ') 1
('NÍNÚ', 'ÌGBO') 1
('ÌGBO', 'ELÉGBÈJE') 1
('ELÉGBÈJE', 'D') 1
('D', 'O') 5
('O', 'Fágúnwà') 3
('Fágúnwà', 'Ọ̀rọ̀') 1
('Ọ̀rọ̀', 'Àkọ́sọ') 1
('Àkọ́sọ', 'Ìwé') 1
('Ìwé', 'yìí') 2
('yìí', 'wà') 51
('wà', 'fún') 176
('fún', 'gbogbo') 345
('gbogbo', 'ènìyàn') 342
('ènìyàn', 'ní') 123
('ní', 'ilẹ́') 2
('ilẹ́', 'Yorùbá') 1
('Yorùbá', 'ó') 10
('ó', 'wà') 1351
('fún', 'ọmọdé') 4
('ọmọdé', 'ó') 3
('fún', 'àgbàlagbà') 1
('àgbàlagbà', 'ó') 2
('ó', 'sí') 110
('sí', 'wà') 13
('fún', 'ẹnikẹ́ni') 36
('ẹnikẹ́ni', 'lóde') 1
('lóde', 'ayé') 10
('ayé', 'ṣá') 1
('ṣá', 'tí') 2
('tí', 'ó') 12599
('ó', 'mọ') 91
('mọ', 'èdè') 10
('èdè', 'Yorùbá') 233
('Yorùbá', 'á') 1
('á', 'kà') 3
('kà', 'dáadáa') 2
('dáadáa', 'Ní') 1
('Ní', 'pàtàkì') 5
('pàtàkì', 'ìwé') 1
('ìwé', 'yìí') 86
('fún', 'àwọn') 1911
('àwọn', 'ọmọ') 2342
('ọmọ', 'ilé') 15
('ilé', 'ìwé') 26
('ìwé', 'láti') 7
('láti', 'kà') 3
('kà', 'gẹ́gẹ́') 6
('gẹ́gẹ́', 'bí') 1953
('bí', 'ìwé') 20
('ìwé', 'kíláàsì') 1
('kíláàsì', 'tí') 3
('tí', 'olùkọ́') 2
('olùkọ́', 'bá') 1
('bá', 'rò') 9
('rò', 'pé') 158
('pé', 'ó') 790
('ó', 'yẹ') 252
('yẹ', 'fún') 62
('fún', 'bẹ́ẹ̀') 1
('bẹ́ẹ̀', 'ni') 926
('ni', 'bákan') 1
('bákan', 'náà') 128
('náà', 'ló') 101
('ló', 'tún') 39
('tún', 'wà') 47
('àwọn', 'ti') 136
('ti', 'ń') 1555
('ń', 'ṣe') 1450
('ṣe', 'ìdánwò') 8
('ìdánwò', 'kémbírìíjì') 1
('kémbírìíjì', 'láti') 1
('láti', 'fi') 540
('fi', 'kọ́') 21
('kọ́', 'ìjìnlẹ́') 1
('ìjìnlẹ́', 'Yorùbá') 1
('Yorùbá', 'Ẹ') 3
('Ẹ', 'ó') 22
('ó', 'ríí') 1
('ríí', 'pé') 1
('pé', 'mo') 218
('mo', 'fi') 274
('fi', 'ìwé') 45
('ìwé', 'náà') 110
('náà', 'júbà') 1
('júbà', 'ọ̀pọ̀lọpọ̀') 1
('ọ̀pọ̀lọpọ̀', 'àwọn') 48
('àwọn', 'ènìyàn') 2404
('ènìyàn', 'tí') 367
('tí', 'wọn') 803
('wọn', 'wà') 51
('wà', 'láyé') 23
('láyé', 'lónìí') 2
('lónìí', 'mo') 8
('mo', 'gba') 15
('gba', 'àṣẹ') 11
('àṣẹ', 'lọ́wọ́') 3
('lọ́wọ́', 'àwọn') 206
('àwọn', 'wọ́nyí') 1
('wọ́nyí', 'wọ́n') 1
('wọ́n', 'sí') 137
('sí', 'ti') 76
('ti', 'àṣẹ') 2
('àṣẹ', 'náà') 10
('náà', 'fún') 139
('fún', 'mi') 1146
('mi', 'pé') 311
('pé', 'ki') 27
('ki', 'n') 91
('n', 'fi') 27
('fi', 'júbà') 2
('júbà', 'àwọn') 3
('àwọn', 'ṣùgbọ́n') 1
('ṣùgbọ́n', 'ó') 126
('ó', 'ní') 960
('ní', 'ìdí') 53
('ìdí', 'pàtàkì') 10
('pàtàkì', 'tí') 71
('tí', 'mo') 1750
('fi', 'fi') 29
('yìí', 'júbà') 1
('júbà', 'wọn') 1
('wọn', 'Awọn') 1
('Awọn', 'wọ̀nyí') 1
('wọ̀nyí', 'wà') 12
('wà', 'láàrin') 106
('láàrin', 'àwọn') 323
('ènìyàn', 'pàtàkì') 47
('mo', 'rò') 33
('yẹ', 'kí') 344
('kí', 'ọmọ') 26
('ọmọ', 'Yorùbá') 30
('Yorùbá', 'máa') 15
('máa', 'rántí') 22
('rántí', 'látí') 1
('látí', 'ìran') 1
('ìran', 'dé') 20
('dé', 'ìran') 35
('ìran', 'Ọ̀jọ̀gbọ́n') 1
('Ọ̀jọ̀gbọ́n', 'Margaret') 1
('Margaret', 'Read') 2
('Read', 'obìnrin') 1
('obìnrin', 'ni') 25
('ni', 'ó') 1952
('ó', 'sì') 6611
('sì', 'yẹ') 36
('Yorùbá', 'kọ́') 3
('kọ́', 'ọgbọ́n') 3
('ọgbọ́n', 'lára') 1
('lára', 'obìnrin') 3
('obìnrin', 'yìí') 65
('yìí', 'púpọ̀') 4
('púpọ̀', 'nínú') 55
('nínú', 'wa') 51
('wa', 'ni') 184
('ni', 'o') 195
('o', 'sì') 1111
('sì', 'ń') 1601
('ń', 'wí') 153
('wí', 'pé') 3379
('pé', 'kí') 951
('kí', 'ni') 185
('ni', 'obìnrin') 33
('obìnrin', 'lé') 3
('lé', 'ṣe') 4
('ṣe', 'pẹ̀lú') 101
('pẹ̀lú', 'ìrọ́jú') 1
('ìrọ́jú', 'sí') 1
('sí', 'ni') 117
('ni', 'àwọn') 1008
('àwọn', 'òbí') 95
('òbí', 'mìíràn') 1
('mìíràn', 'fi') 2
('fi', 'ń') 529
('ń', 'fi') 639
('fi', 'ọmọ') 40
('ọmọ', 'wọn') 134
('wọn', 'sí') 212
('sí', 'ilé') 380
('ìwé', 'bí') 2
('bí', 'o') 172
('o', 'bá') 228
('bá', 'sá') 10
('sá', 'ti') 13
('ti', 'lè') 49
('lè', 'jẹ́') 111
('jẹ́', 'obìnrin') 18
('obìnrin', 'Margaret') 1
('Read', 'ni') 1
('ni', 'ọ̀gá') 6
('ọ̀gá', 'Ilé') 1
('Ilé', 'Ẹ̀kọ́') 4
('Ẹ̀kọ́', 'ńlá') 1
('ńlá', 'tí') 67
('tí', 'ọ̀pọ̀lọpọ̀') 16
('àwọn', 'tí') 1929
('ó', 'bá') 1502
('bá', 'lọ') 89
('lọ', 'sí') 1770
('sí', 'ìlú') 179
('ìlú', 'Gẹ̀ẹ́sì') 2
('Gẹ̀ẹ́sì', 'láti') 5
('láti', 'kọ') 64
('kọ', 'bí') 12
('bí', 'a') 508
('a', 'ti') 1092
('ti', 'ṣe') 898
('ṣe', 'ń') 484
('ń', 'ṣiṣẹ́') 110
('ṣiṣẹ́', 'Olùkọ́') 1
('Olùkọ́', 'tí') 3
('tí', 'ń') 1758
('ń', 'kọ́') 81
('kọ́', 'ìwé') 2
('ìwé', 'wọn') 15
('wọn', 'ogunlọ́gọ̀') 1
('ogunlọ́gọ̀', 'ènìyàn') 6
('ènìyàn', 'láti') 82
('láti', 'orígun') 4
('orígun', 'mẹ́tẹ́ẹ̀rin') 1
('mẹ́tẹ́ẹ̀rin', 'ayé') 1
('ayé', 'lo') 2
('lo', 'ń') 21
('ń', 'wá') 279
('wá', 'a') 75
('a', 'kò') 505
('kò', 'sì') 1334
('sì', 'lè') 164
('lè', 'ka') 23
('ka', 'iye') 23
('iye', 'àwọn') 76
('àwọn', 'ọkùnrin') 443
('ọkùnrin', 'tí') 212
('tí', 'o') 1222
('o', 'ń') 209
('ṣiṣẹ́', 'lábẹ́') 4
('lábẹ́', 'obìnrin') 1
('yìí', 'ni') 667
('ni', 'bí') 91
('ń', 'sọ̀rọ̀') 242
('sọ̀rọ̀', 'yìí') 24
('yìí', 'Ṣùgbọ́n') 29
('Ṣùgbọ́n', 'ọmọlúàbí') 1
('ọmọlúàbí', 'ni') 1
('ni', 'kò') 201
('kò', 'jẹ́') 102
('jẹ́', 'fi') 10
('fi', 'ojú') 159
('ojú', 'pa') 2
('pa', 'ẹnikẹ́ni') 10
('ẹnikẹ́ni', 'rẹ́') 1
('rẹ́', 'kó') 1
('kó', 'sì') 37
('sì', 'mọ') 126
('mọ', 'ti') 7
('ti', 'ara') 104
('ara', 'rẹ̀') 789
('rẹ̀', 'nìkan') 20
('nìkan', 'Àpẹẹrẹ') 1
('Àpẹẹrẹ', 'ni') 8
('ni', 'èyí') 205
('èyí', 'fún') 47
('gbogbo', 'yín') 81
('yín', 'ẹ̀yin') 85
('ẹ̀yin', 'ènìyàn') 52
('ènìyàn', 'wa') 25
('wa', 'Ẹni') 7
('Ẹni', 'ọ̀wọ̀') 1
('ọ̀wọ̀', 'Hon') 1
('Hon', 'R') 1
('R', 'A') 1
('A', 'Mcl') 1
('Mcl', 'Davidson') 1
('Davidson', 'tíí') 1
('tíí', 'ṣe') 21
('ṣe', 'alákòóso') 15
('alákòóso', 'ẹ̀kọ́') 2
('ẹ̀kọ́', 'ní') 7
('ní', 'nììjííríà') 1
('nììjííríà', 'lákòókò') 1
('lákòókò', 'yìí') 6
('yìí', 'jẹ́') 77
('jẹ́', 'ẹnìkaan') 1
('ẹnìkaan', 'tí') 1
('o', 'ti') 253
('ti', 'pẹ') 3
('pẹ', 'ní') 1
('ní', 'ilẹ̀') 494
('ilẹ̀', 'wa') 38
('wa', 'Lóòótọ́') 2
('Lóòótọ́', 'ọ̀pọ̀lọpọ̀') 1
('ọ̀pọ̀lọpọ̀', 'Alákòóso') 1
('Alákòóso', 'Ẹ̀kọ́') 2
('Ẹ̀kọ́', 'ló') 1
('ló', 'ti') 118
('ti', 'wà') 318
('wà', 'ni') 133
('ni', 'nàìjíríà') 2
('nàìjíríà', 'rí') 2
('rí', 'ṣùgbọ́n') 23
('ṣùgbọ́n', 'púpọ̀') 3
('nínú', 'wọn') 302
('wọn', 'ló') 43
('ló', 'jẹ́') 41
('jẹ́', 'pé') 464
('pé', 'wọ́n') 202
('wọ́n', 'ti') 571
('ti', 'ibòmíràn') 1
('ibòmíràn', 'wá') 1
('wá', 'ṣe') 39
('ṣe', 'Alákòóso') 1
('Ẹ̀kọ́', 'ni') 1
('nàìjíríà', 'ni') 1
('ni', 'láàjẹ́') 1
('láàjẹ́', 'pé') 1
('pé', 'àwọn') 790
('àwọn', 'pàápàá') 3
('pàápàá', 'dé') 1
('dé', 'nàìjíríà') 1
('rí', 'kò') 12
('kò', 'rí') 270
('rí', 'bẹ́ẹ̀') 137
('bẹ́ẹ̀', 'fún') 26
('fún', 'ipò') 5
('ipò', 'kékeré') 1
('kékeré', 'o') 2
('o', 'siṣẹ́') 1
('siṣẹ́', 'títí') 1
('títí', 'o') 12
('o', 'fi') 197
('fi', 'dé') 122
('dé', 'ipò') 14
('ipò', 'gíga') 10
('gíga', 'Ko') 1
('Ko', 'sí') 2
('sí', 'ẹni') 245
('ẹni', 'náà') 138
('náà', 'tí') 487
('ó', 'lé') 264
('lé', 'mọ') 2
('mọ', 'Davidson') 1
('Davidson', 'ní') 1
('ní', 'àkókò') 166
('àkókò', 'tí') 90
('o', 'fì') 3
('fì', 'ń') 3
('ṣe', 'Olùdánwò') 1
('Olùdánwò', 'ti') 1
('ti', 'o') 91
('o', 'n') 17
('n', 'yí') 2
('yí', 'ilé') 11
('ìwé', 'kékeré') 4
('kékeré', 'kirir') 1
('kirir', 'tí') 1
('tí', 'yóò') 645
('yóò', 'rí') 168
('rí', 'i') 797
('i', 'pé') 503
('ó', 'dé') 142
('ipò', 'ńlá') 10
('ńlá', 'yìí') 34
('yìí', 'lónìí') 3
('lónìí', 'ti') 4
('ti', 'ẹnu') 47
('ẹnu', 'lè') 5
('lè', 'yà') 5
('yà', 'Oníṣẹ́') 1
('Oníṣẹ́', 'ni') 1
('ni', 'ọkùnrín') 2
('ọkùnrín', 'náà') 3
('náà', 'ìgbéga') 1
('ìgbéga', 'ẹ̀') 1
('ẹ̀', 'sì') 1
('sì', 'tó') 45
('tó', 'ẹ̀kọ́') 1
('ẹ̀kọ́', 'fún') 3
('fún', 'ìwọ') 25
('ìwọ', 'àti') 96
('àti', 'èmi') 22
('èmi', 'Ìgbésí') 1
('Ìgbésí', 'ayé') 5
('ayé', 'Bísọ̀bù') 1
('Bísọ̀bù', 'S') 1
('S', 'C') 1
('C', 'Phillips') 1
('Phillips', 'ni') 1
('ni', 'nǹkan') 38
('nǹkan', 'pàtàkì') 6
('pàtàkì', 'láti') 15
('láti', 'kọ́') 66
('kọ́', 'ọmọ') 9
('Yorùbá', 'Ó') 9
('Ó', 'jẹ́') 82
('jẹ́', 'ẹni') 102
('ẹni', 'tí') 2517
('tí', 'a') 3895
('a', 'nílati') 3
('nílati', 'máa') 1
('rántí', 'láti') 3
('láti', 'ìran') 27
('dé', 'iran') 1
('iran', 'wa') 1
('wa', 'Ẹyin') 1
('Ẹyin', 'náà') 2
('náà', 'mọ̀') 12
('mọ̀', 'pé') 613
('pé', 'àbùkù') 1
('àbùkù', 'àwa') 1
('àwa', 'Yorùbá') 5
('Yorùbá', 'ni') 50
('ni', 'èké') 3
('èké', 'ṣíṣe') 3
('ṣíṣe', 'àti') 7
('àti', 'sọ') 8
('sọ', 'òdodo') 3
('òdodo', 'a') 5
('a', 'máa') 625
('máa', 'ṣòro') 1
('ṣòro', 'fún') 14
('fún', 'ni') 122
('ni', 'Bí') 27
('Bí', 'o') 65
('bá', 'wi') 1
('wi', 'fún') 9
('fún', 'ẹnìkan') 10
('ẹnìkan', 'pé') 2
('pé', 'máṣe') 1
('máṣe', 'bá') 2
('bá', 'mi') 254
('mi', 'lo') 5
('lo', 'Yorùbá') 2
('Yorùbá', 'ìtúmọ̀') 1
('ìtúmọ̀', 'ọ̀rọ̀') 1
('ọ̀rọ̀', 'rẹ') 51
('rẹ', 'ni') 189
('ni', 'maṣe') 1
('maṣe', 'púrọ́') 1
('púrọ́', 'fún') 1
('mi', 'Ìgbà') 8
('Ìgbà', 'tí') 188
('a', 'bá') 549
('bá', 'sì') 478
('sì', 'wò') 74
('wò', 'bí') 35
('bí', 'ojú') 28
('ojú', 'Yorùbá') 1
('Yorùbá', 'ti') 25
('ti', 'là') 13
('là', 'tó') 3
('tó', 'kí') 18
('kí', 'Gẹ̀ẹ́sì') 1
('Gẹ̀ẹ́sì', 'tilẹ̀') 1
('tilẹ̀', 'tó') 3
('tó', 'gòkè') 4
('gòkè', 'tí') 2
('sì', 'jẹ́') 709
('pé', 'kò') 363
('kò', 'sí') 958
('sí', 'ẹ̀yà') 9
('ẹ̀yà', 'kan') 23
('kan', 'ní') 205
('ní', 'nàìjíríà') 1
('nàìjíríà', 'tí') 1
('ó', 'lè') 490
('lè', 'wí') 24
('pé', 'òun') 348
('òun', 'lajú') 1
('lajú', 'ju') 1
('ju', 'Yorùbá') 2
('Yorùbá', 'lọ') 2
('lọ', 'títí') 53
('títí', 'di') 293
('di', 'òní') 90
('òní', 'olónìí') 11
('olónìí', 'ẹ') 2
('ẹ', 'ó') 149
('ó', 'ríi') 2
('ríi', 'pé') 30
('pé', 'bí') 252
('bá', 'lè') 64
('lè', 'mú') 127
('mú', 'irú') 10
('irú', 'àbàwọ́n') 1
('àbàwọ́n', 'báyìí') 1
