('\ufeffÌRÌNKÈRINDÒ', 'NÍNÚ', 'ÌGBO') 1
('NÍNÚ', 'ÌGBO', 'ELÉGBÈJE') 1
('ÌGBO', 'ELÉGBÈJE', 'D') 1
('ELÉGBÈJE', 'D', 'O') 1
('D', 'O', 'Fágúnwà') 3
('O', 'Fágúnwà', 'Ọ̀rọ̀') 1
('Fágúnwà', 'Ọ̀rọ̀', 'Àkọ́sọ') 1
('Ọ̀rọ̀', 'Àkọ́sọ', 'Ìwé') 1
('Àkọ́sọ', 'Ìwé', 'yìí') 1
('Ìwé', 'yìí', 'wà') 2
('yìí', 'wà', 'fún') 13
('wà', 'fún', 'gbogbo') 6
('fún', 'gbogbo', 'ènìyàn') 51
('gbogbo', 'ènìyàn', 'ní') 7
('ènìyàn', 'ní', 'ilẹ́') 1
('ní', 'ilẹ́', 'Yorùbá') 1
('ilẹ́', 'Yorùbá', 'ó') 1
('Yorùbá', 'ó', 'wà') 1
('ó', 'wà', 'fún') 37
('wà', 'fún', 'ọmọdé') 1
('fún', 'ọmọdé', 'ó') 1
('ọmọdé', 'ó', 'wà') 1
('wà', 'fún', 'àgbàlagbà') 1
('fún', 'àgbàlagbà', 'ó') 1
('àgbàlagbà', 'ó', 'sí') 1
('ó', 'sí', 'wà') 3
('sí', 'wà', 'fún') 2
('wà', 'fún', 'ẹnikẹ́ni') 2
('fún', 'ẹnikẹ́ni', 'lóde') 1
('ẹnikẹ́ni', 'lóde', 'ayé') 1
('lóde', 'ayé', 'ṣá') 1
('ayé', 'ṣá', 'tí') 1
('ṣá', 'tí', 'ó') 2
('tí', 'ó', 'mọ') 45
('ó', 'mọ', 'èdè') 1
('mọ', 'èdè', 'Yorùbá') 2
('èdè', 'Yorùbá', 'á') 1
('Yorùbá', 'á', 'kà') 1
('á', 'kà', 'dáadáa') 1
('kà', 'dáadáa', 'Ní') 1
('dáadáa', 'Ní', 'pàtàkì') 1
('Ní', 'pàtàkì', 'ìwé') 1
('pàtàkì', 'ìwé', 'yìí') 1
('ìwé', 'yìí', 'wà') 2
('wà', 'fún', 'àwọn') 19
('fún', 'àwọn', 'ọmọ') 229
('àwọn', 'ọmọ', 'ilé') 9
('ọmọ', 'ilé', 'ìwé') 6
('ilé', 'ìwé', 'láti') 1
('ìwé', 'láti', 'kà') 1
('láti', 'kà', 'gẹ́gẹ́') 1
('kà', 'gẹ́gẹ́', 'bí') 6
('gẹ́gẹ́', 'bí', 'ìwé') 5
('bí', 'ìwé', 'kíláàsì') 1
('ìwé', 'kíláàsì', 'tí') 1
('kíláàsì', 'tí', 'olùkọ́') 1
('tí', 'olùkọ́', 'bá') 1
('olùkọ́', 'bá', 'rò') 1
('bá', 'rò', 'pé') 7
('rò', 'pé', 'ó') 23
('pé', 'ó', 'yẹ') 43
('ó', 'yẹ', 'fún') 25
('yẹ', 'fún', 'bẹ́ẹ̀') 1
('fún', 'bẹ́ẹ̀', 'ni') 1
('bẹ́ẹ̀', 'ni', 'bákan') 1
('ni', 'bákan', 'náà') 1
('bákan', 'náà', 'ló') 1
('náà', 'ló', 'tún') 5
('ló', 'tún', 'wà') 2
('tún', 'wà', 'fún') 5
('fún', 'àwọn', 'ti') 5
('àwọn', 'ti', 'ń') 36
('ti', 'ń', 'ṣe') 125
('ń', 'ṣe', 'ìdánwò') 1
('ṣe', 'ìdánwò', 'kémbírìíjì') 1
('ìdánwò', 'kémbírìíjì', 'láti') 1
('kémbírìíjì', 'láti', 'fi') 1
('láti', 'fi', 'kọ́') 7
('fi', 'kọ́', 'ìjìnlẹ́') 1
('kọ́', 'ìjìnlẹ́', 'Yorùbá') 1
('ìjìnlẹ́', 'Yorùbá', 'Ẹ') 1
('Yorùbá', 'Ẹ', 'ó') 1
('Ẹ', 'ó', 'ríí') 1
('ó', 'ríí', 'pé') 1
('ríí', 'pé', 'mo') 1
('pé', 'mo', 'fi') 4
('mo', 'fi', 'ìwé') 2
('fi', 'ìwé', 'náà') 8
('ìwé', 'náà', 'júbà') 1
('náà', 'júbà', 'ọ̀pọ̀lọpọ̀') 1
('júbà', 'ọ̀pọ̀lọpọ̀', 'àwọn') 1
